"Date","Day","People Tested ","Cases ","Deaths ","Hospitalizations ","death rate "
"07/06/2020","Monday",5306,284,5,20,0.000942329438371655
"05/27/2020","Wednesday",4908,611,26,49,0.00529747351263244
"09/24/2020","Thursday",4689,399,4,14,0.000853060354020047
"08/06/2020","Thursday",4694,348,4,16,0.000852151682999574
"06/27/2020","Saturday",2839,130,5,13,0.0017611835153223
"04/09/2020","Thursday",1567,577,25,156,0.0159540523292916
"09/18/2020","Friday",3849,336,3,13,0.000779423226812159
"05/04/2020","Monday",3961,1120,48,122,0.0121181519818228
"09/04/2020","Friday",4499,385,2,16,0.000444543231829295
"03/22/2020","Sunday",545,169,2,76,0.0036697247706422
"03/21/2020","Saturday",547,125,2,66,0.0036563071297989
"05/17/2020","Sunday",1973,327,41,70,0.0207805372529143
"04/23/2020","Thursday",4039,1467,36,165,0.00891309730131221
"03/11/2020","Wednesday",61,12,0,9,0
"03/20/2020","Friday",776,155,0,52,0
"05/02/2020","Saturday",2364,717,50,162,0.0211505922165821
"08/16/2020","Sunday",1813,122,3,11,0.00165471594043023
"08/12/2020","Wednesday",5579,432,2,23,0.000358487184083169
"06/16/2020","Tuesday",4528,212,11,20,0.00242932862190813
"09/29/2020","Tuesday",4613,374,5,17,0.00108389334489486
